Ivan Abreu		CENTRO University	As an artist and computer programmer, I investigate forms of art generated with algorithmic processes and inserted into digital everyday life.  My work takes multiple forms such as installations, graphics, sound art, interactive digital media and audiovisual concerts. My beginnings as a typographer and visual communicator influence my artistic production, which is why my production processes dilute the border between design and art.  I am interested in proposing to the observer and listener new ways of relating to visuality, sound and space..  Awards, distinctions and residencies: ZKM Residence – Center for Art and Media (Karlsruhe, Germany, 2021), The Prix Ars Electronica (Honorary Mention 2012, Linz, Austria); The CINTAS Foundation Fellowship in Visual Arts, (2011-12, Miami, US). The National System of Art Creators of the National Fund for Culture and the Arts (Mexico, 2012-2014, 2017-2019 and 2022-2025). He was also director of the 1st International Festival of Electronic Arts Transito MX.
CNDSD	Malitzin Cortes	CENTRO University	Musician, Speculative Architect, Creative Technologist.  As an artist, she investigates the forms in which the sound, the architecture, the technology and the science hold the ability to be great diffusers of discoveries and devices of self-reflection that can unleash speculative worlds. Through live coding processes, experimental sound, CGI, game software, installation, virtual reality and enhancement and performance, I seek to merge the physical and the digital through new models of social interaction and politics capable of providing new forms of relationship from the utopia and the fiction in this constant state of crisis and also of hope. She is a professor and researcher at the Universidad CENTRO | Design, Film and Television in the field of creative code, STEAM and new sound and immersion technologies and in the CMMAS in the field of algorithmic music composition and live coding.
Atsushi Tadokoro		Maebashi Institute of Technology	Live Coder / Creative Coder / Associate Professor at Maebashi Institute of Technology / Adjunct Lecturer at Tokyo University of the Arts / Adjunct Lecturer at Keio University. Born in 1972. He creates musical works by synthesizing sounds using algorithms and improvises with sounds and images using laptop computers. At university, he lectures on "creative coding" such as openFrameworks, Processing, and p5.js. His lecture materials are available on the website (https://yoppa.org/) and are used by many students and creators. He is the author of "Beyond Interaction - A Practical Guide to openFrameworks for Creative Coding" BNN, "Performative Programming, The Art and Practice of Live Coding - Show us your screens." BNN.
Bogna Konior		NYU Shanghai	Bogna Konior is an Assistant Professor of IMA (Interactive Media Arts) and co-director of the Center for AI and Culture at NYU Shanghai. She is also a Research Fellow in the Antikythera Program on Speculative Computation at the Berggruen Institute, and a mentor in the Synthetic Intelligence program at Medialab-Matadero Madrid. She is the author of The Dark Forest Theory of the Internet (Flugschriften, 2019), and. together with Anna Greenspan and Benjamin Bratton, the editor of Machine Decision is not Final: China, and the History and Future of AI (Urbanomic, 2024). Her work on digital culture, philosophy of new media, and posthumanism has been presented internationally, recently including the Cambridge Leverhulme Centre for the Future of Intelligence, ZKM | Center for Art and Media, e-flux, and the Ljubljana Biennale. She is currently working on two projects concerned with long-term trajectories of technological development. Her current academic project is on Polish science fiction writer and philosopher, Stanislaw Lem, and his neglected contribution to the theory of biotechnological evolution of autonomous reason. She is also conducting a multimedia research project on female Catholic mysticism as an early form of cybefeminism and a predictor of machine erotics, nonhuman personhood, and artificial reproduction. @bognamk 
Iván Paz		Elisava Barcelona School of Design and Engineering	Iván Paz studied physics, mathematics and holds a PhD in computer science from the Polytechnic University of Catalonia. He likes to investigate how the intersection between sciences, arts and humanities offers new creative possibilities. In particular, he studies how we interact with machine learning algorithms and the use of code as an interface for real-time creation. His work uses custom-developed software and electronics. He has collaborated with universities, designed interactive systems for festivals, presented works and performances around America and Europe.
Louis McCallum		CCI, UAL	Louis McCallum is currently a Senior Lecturer and Course Leader for the MSc Data Science and AI for the Creative Industries at the Creative Computing Institute, UAL. His research interests are in Machine Learning for Audio Generation and Social and Musical Robotics. He am the main developer for the MIMIC creative ML Web platform, used by over 70k students at UAL and online. He has secured multiple grants from Google (AMI and Tensorflow.js) to fund the above projects. He has also the Award Lead on a Network Grant from the Alan Turing Institute with which he have engaged the local community with open source tools for AI music creation. His work, both individual and collaborative, have been widely exhibited across London, notably at the Royal Festival Hall, and in Dublin, New York and Austria. The robotic drummer he developed for my PhD, Mortimer, has appeared on the BBC’s Christmas Lectures and on Channel Five’s The Gadget Show.
Mick Grierson		CCI, UAL	Mick Grierson is Research Leader at UAL Creative Computing Institute. His research explores new approaches to the creation of sounds, images, video and interactions through signal processing, machine learning and information retrieval techniques. Hardware and software based on his research has been widely used by world leading production companies, tech start-ups and artists including the BBC, Channel 4, Massive Attack, Sigur Ros, Christian Marclay, Martin Creed, Jai Paul and many others. He led the first BSc programmes in Creative Computing in the UK, and the first creative programming MOOC in the world, with over 250,000 learners. Work by his students and research group was instrumental in the development of the field known as Creative AI. He was Principal Investigator on the £1million Artificial Intelligence project MIMIC, a partnership between Durham University, Sussex University, Goldsmiths College, and Google’s Project Magenta, and is currently CO-I on the AHRC's Transforming Collections project (£3million, led by Susan Pui San Lok). He was the Academic Research Lead for the £1million 2018-2020 Wellcome Trust Hub, in collaboration with Heart n Soul, RCA Helen Hamlyn Centre and UCL CRAE, and Principal Investigator for the Institute of Coding's £1.4 million Future Projects Fund Project, ""Creative Solutions to Digital Transformation"", in collaboration with FutureLearn, Lancaster University, Goldsmiths College, and Nesta.Mick Grierson is Research Leader at UAL Creative Computing Institute. His research explores new approaches to the creation of sounds, images, video and interactions through signal processing, machine learning and information retrieval techniques. Hardware and software based on his research has been widely used by world leading production companies, tech start-ups and artists including the BBC, Channel 4, Massive Attack, Sigur Ros, Christian Marclay, Martin Creed, Jai Paul and many others.  He led the first BSc programmes in Creative Computing in the UK, and the first creative programming MOOC in the world, with over 250,000 learners. Work by his students and research group was instrumental in the development of the field known as Creative AI. He was Principal Investigator on the £1million Artificial Intelligence project MIMIC, a partnership between Durham University, Sussex University, Goldsmiths College, and Google’s Project Magenta, and is currently CO-I on the AHRC's Transforming Collections project (£3million, led by Susan Pui San Lok). He was the Academic Research Lead for the £1million 2018-2020 Wellcome Trust Hub, in collaboration with Heart n Soul, RCA Helen Hamlyn Centre and UCL CRAE, and Principal Investigator for the Institute of Coding's £1.4 million Future Projects Fund Project, ""Creative Solutions to Digital Transformation"", in collaboration with FutureLearn, Lancaster University, Goldsmiths College, and Nesta.
Yoni Maltsman			Yoni Maltsman is a creative coder and independent researcher based in Pittsburgh. He studied math at Harvey Mudd College, where his thesis project sparked his interest in creative visualization and performance of mathematical ideas. He has performed visuals with the rock band Sommelier as well as experimental guitarist Luke Starcher, incorporating live coding, conductive yarn, and machine learning in his work. Yoni has also conducted research in mathematical biology at Lawrence Berkeley Laboratory, the University of Pittsburgh, and Carnegie Mellon University.
Yue Zhu		China Academy of Art	Yue Zhu(Yuki) is a junior undergraduate majored in Industrial Design at School of Design & Innovation in China Academy of Art. She currently studies transformation design in Willem de Kooning Academie, Rotterdam. Before that, she learnt Biology. Her interests include Speculative Design, Human-AI Collaboration, Dark Pattern, Tangible Interface, Symbiocene and Art. For her previous works, visit yukizhuyue.com. Open to any kinds of discussion and collaboration.
Zhiyuan Zhou		China Academy of Art	Zhiyuan Zhou is a third-year undergraduate student at School of Design & Innovation, China Academy of Art.
Fenggui Rao		China Academy of Art	Fenggui Rao is a PhD student of Intelligent System Design in Hong Kong Polytechnic University, graduated from the School of Innovation and Design of China Academy of Art as an undergraduate, and one of the co-leaders of D&A lab of China Academy of Art. He has been awarded with various kinds of scholarships such as National Scholarships, Provincial Government Scholarships, Wu Guanzhong Scholarships, etc. His research interests are in human-computer interaction based on artificial intelligence, aiming to develop systems to achieve personalized intelligent manufacturing through multi-modal fusion, human data modeling and other methods.
Ilze Briede (Kavi)		York University	Ilze Briede [artist name Kavi] is a Latvian/Canadian artist working across multiple disciplines, including visual art, installation and live performance. Kavi's current research explores possibilities working with live biophysical data from the human body through live performative and exploratory systems to uncover inner workings and patterns of hidden biological processes. Kavi is a PhD student in Digital Media at York University (Toronto, Canada) and a researcher in several York University labs: nD::StudioLab (dir. Prof. Mark-David Hosale), SLOlab (dir. Prof. Jane Tingley), Alice Lab (dir. Prof. Graham Wakefield) and Sensorium research cluster. Briede has received academic degrees in Visual and Computational Arts (Canada), Digital Media Production (United Kingdom) and Chinese language and culture studies (Latvia). Her creative practice and teaching navigate the realm of bio-physiological sensing, creative coding and video projection art.
Hryso	Hrysovalanti Fereniki Maheras	York University	Hrysovalanti Fereniki Maheras (Hryso) is a computational art practitioner specializing in generative audiovisual art simulations and electronic kinetic art. Currently a Ph.D. student in Computational Arts at York University, she also serves as a studio instructor for audiovisual arts. Hryso actively collaborates with fellow digital artists, engaging in live coding performances. She has showcased her work through recent performances and art installations at prominent venues, including LAZNIA Center for Contemporary Art, Nuit Blanche @Toronto 2022, the International Conference for Live Coding (ICLC) 2023, International Conference for Generative Art(ICGA) 2019, 2023, Congress @YorkU 2022, and Exit Points @Array Space 2019-2023. Her engagement highlights her commitment to pushing the boundaries of computational art, contributing to the evolving dialogue surrounding the intersection of technology and artistic expression.
Cameron Alexander			Cameron Alexander is an artist, programmer, and scientist based in New York. His work explores the relationship between math and nature (especially in fractals, feedback, and non-linear systems), altered and esoteric states of consciousness, and the essence of reality through generative art, livecoded performances, and photography.  Cameron received his B.S. in Computer Science from the University of Houston in 2015. He has been creating generative art since 2011, and his work has been exhibited, installed, and performed in galleries, theaters, clubs, and venues across the U.S.  Cameron is a member of the New York-based collective livecode.nyc, where he organizes shows, gives livecoding workshops, and performs livecoded visuals and music at algoraves.
Botao A Hu		Holo Interactive	Botao (Amber) Hu is a spatial computing researcher, creative technologist, and media artist. He is the founder of Holo Interactive, a spatial computing lab. His primary focus lies in XR design theory, with a particular emphasis on co-located multiplayer AR and Cross-Reality. With expertise in AI, XR, ZKML, robotics, game studies, media theory, and visual design, he has collaborated with renowned companies such as Apple, Twitter, DJI, Google, Microsoft, Pinterest, and thatgamecompany. His works have been featured at top conferences like SIGGRAPH, WWW, CHI, SXSW, TEDx, and received awards including CHI Best Interactivity, Red Dot Design Award, Webby Awards, and Core77 Design Award. He is notably the inventor of HoloKit, an open-source AR headset highly regarded by esteemed research institutions like MIT Media Lab, NYU ITP, Stanford, and Harvard for their mixed reality education and research initiatives. He holds a bachelor’s degree in computer science from Tsinghua University and a master’s degree in AI from Stanford University.
Yuemin Huang		East China Normal University	Yuemin Huang is a Shanghai-born artist and researcher interested in how culture-constructed media shapes cognition, engaging with themes such as materiality of digital infrastructure, polycentric self-organizing structures, artistic/technical protocols and constructible perception. Yuemin is also a co-founder of TINAG, an art game group, focusing on experimenting with different organizational structures through games, creating shared experiences within communities, and exploring the alternative reality gaming method. With works appearing in festivals, distributed papers and alternative written forms, including SeP Shanghai(2023), Hastac(2023), ICA(2023). Yuemin is the lecturer at in East China Normal University with the course ”Alternative-reality Cross media Game Practice”, ”Virtual Space and Net Art”, ”Physical computation...” She holds a bachelor’s degree in Public Art from East China Normal University and a master’s degree in Art and Technology Studies in the School of the art Institute of Chicago.
Mingze Chai			Mingze Chai is a sound designer, music editor, and sound artist, primarily focusing on audio design within immersive interactive experiences. As a Senior Audio Designer at bilibili games, Mingze played a key role in the interactive music system and sound design for video game titles such as ’Warm Snow’, ’Soda Crisis’, ’Higan: Eruthyll’, and ’Thrud’. Deeply interested in the intersection of audio artistry and interactive design, his work continuously explores the potential of sound in elevating user experiences.
Yilan Tao		Holo Interactive	Yilan (Elan) Tao is a user-experience designer and architect who specializes in the interaction between people and 3D spaces. She is currently a designer and research assistant at Holo Interactive, focusing on XR design theory. Her remarkable skills in design and presentation have played a vital role in the success of Holo Interactive’s award-winning projects showcased at top conferences such as CHI, SXSW, ISMAR, as well as recognized by prestigious awards including the CHI Best Interactivity, Red Dot Design Award, Webby Awards, and Core77 Design Award. Prior to her current role, Yilan worked as a senior architect at Neri&Hu Design and Research Office in Shanghai, where she successfully completed the Shanghai Qiantan Cultural Center Theater and Hotel. She holds a Bachelor’s degree in Architecture from Tsinghua University and a Master’s degree in Architecture from Cornell University.
Aaron Hu		Holo Interactive	Creative Technologist, Vj, psychology researcher. Over 10 years experience in the field of new media, experiential marketing and digital innovation.
Kaiqing Huang		China Academy of Art	Kaiqing Huang is currently pursuing studies at the Institute of Media and Interaction in the School of Innovation Design at the China Academy of Art, specializing in the intersection of art and technology. His works span across digital film, interactive installations, programming interactions, virtual reality, and augmented reality art. He focuses on exploring the expansiveness of multimedia and cross-media art. Drawing inspiration not only from the art industry and academia but also from the fields of biology, medicine, and anthropology, Huang Kaiqing believes that such interdisciplinary integration provides art with greater creativity and possibilities in presentation.
Chu Zhang		China Academy of Art	Chu Zhang is an undergraduate student at the School of Innovation Design, China Academy of Art, and serves as the lead vocalist for the "New Youth Band." His academic focus lies in Digital Media Art and AR Development, with a primary research interest in the application of sound interaction in AR environments and the emotional impact of sound within multimedia contexts. Additionally, he explores the utilization of music for therapeutic purposes and emotional resonance. In the realm of digital media art performances, Zhang Chu is experimenting with incorporating live coding, using SonicPi, Max/MSP, and Unity for real-time music synthesis and interaction with body movements. Through such exploration, he aims to discover the synergy between the soul and the body, pushing the boundaries of new territories at the intersection of performance and music.
Wangyu Ping		China Academy of Art	Wangyu Ping, a current undergrad at the China Academy of Art majoring in Digital Media Art, seamlessly blends academic pursuits with practical involvement. Recipient of consecutive school scholarships, her exhibited works showcase her dedication. Collaborating with China Aerospace Eighth Academy and various companies, she contributed to the "2023 New Art and Science Future Vision" exhibition. Currently delving into cross-device temporal synchronization, she holds a strong interest in cutting-edge tech like AI and VR. Eager to share her academic insights and research on your platform, Ping aims to contribute to the convergence of art, technology, and academia.
Zhao Boxiong		China Academy of Art	Boxiong Zhao, currently residing in Hangzhou, is a visual artist and creative programmer affiliated with the China Academy of Art. With a background in visual design, he has been actively engaged in creating visual art through software and coding in recent years. His practice spans live performances, videos, digital media, and installations, exploring abstract narratives. By combining computer graphics (CG) and augmented reality (AR), he crafts captivating digital landscapes. Collaborating with musicians to integrate real-time coding and virtual visuals, his works have been exhibited at events such as the Jin Daiqiang Design Award, China Digital Art Exhibition (CDSA), and the Boiling Bronze Art Festival. Additionally, he is part of the Lightning Institute's Art Support Program, contributing to artistic creation.
Reckoner	Sumanth Srinivasan		Reckoner is a New York-based computer-songwriter project by Sumanth Srinivasan. Drawing from krautrock, trip hop and glitch, his music is a fusion of live sampling, guitar, live coded rhythms and melodic vocals. Reckoner has released a full length album, several EPs and recently performed a series of shows in western Europe.
Kastakila	Casta Jiahui Zhu		Casta Zhu is a NYC-based multimedia artist, creative technologist, and producer. She blends the full spectrum of colors in her work to capture and visualize the clocked and unclocked time, the tangible and intangible spirit of nature. She creates installations, mixed reality experiences and generative arts. She performs under the moniker: kastakila creating live visuals at clubs.
Eadin Wang		NYU Shanghai	Graduating from NYU Shanghai Interactive Media Arts in 2024, Eadin Wang is passionate about design and new media art practices that influence human behavior and awareness. Her practice of live coding began in her junior year of college, when she was studying at NYU Abu Dhabi, United Arab Emirates. Besides performing, she is also interested in live coding’s interdisciplinary educational values. In life, her hobbies include photography and watching Japanese TV dramas.
Xiaochen Yu		NYU Shanghai	Xiaochen Yu is a developer and designer dedicated to simplicity and inclusivity. She is passionate about technology, creativity and their social impact. Xiaochen completed her Bachelor of Science degree in Computer Science and Interactive Media Arts at NYU Shanghai in 2024. Her research focuses on physical computing and user experience design. During four years of undergraduate studies, she also gained experience in mixed reality, creative coding, software engineering, and web development. Outside study and work, she enjoys playing sports and making handicrafts.
Joulez	Andy Shing	Xi'an Jiatong - Liverpool University	Joulez is a music producer based in Shanghai, and he has been producing music using conventional means for over 5 years. He is new to live-coding and it is his attempt at a different approach with music creation. Introduced to Sonic Pi in 2022, performance opportunities are often rare for Joulez. He believes live coding is a more direct medium.
Colonel Panix	Dave Stein	NYU	Colonel Panix, a Brooklyn-based member of LiveCode.NYC, has been active in both organizing and performing in livecode events since 2018. As an algorithmic artist, he creates generative art and music as well as constructs new musical instruments. He is a 2023 graduate of the NYU Interactive Telecommunications Program and currently serves both as an Adjunct Professor at NYU and as a postgraduate researcher. Additionally, he has taught classes on coding music at CUNY's City Tech Entertainment Technology Department.
Fetle Wondimu Nega (Nū)			Fetle Wondimu Nega, an Ethiopian-Australian musician and co-design facilitator in Naarm/Melbourne, explores cross-cultural experiences, non-western musical traditions, and Afrofuturism. With a Bachelor of Science (Mathematics) from The University of Melbourne and currently pursuing an Advanced Diploma of Music Performance (Voice), Fetle's diverse creative practice involves experimental sound production, improvisational vocals, and live coding with Sonic Pi. As the recipient of Creative Victoria's Creators Fund in 2023, she delves into Afrofuturism's application in storytelling from the African Australian diaspora. Under alias Nū, she has exhibited her work, CODE-SWITCH, through the 2022 Signal Arts Screen and Sound Commission, and released her debut ambient electronic single, "Night Time," in October 2023. Nū has performed at Melbourne Music Week in 2021, captivating audiences at sold-out shows at 86 festival and Make It Up Club in 2023, showcasing her innovative contributions to the Australian music and sound art scene.
Ben Swift		Australian National University	Dr. Ben Swift is an academic, educator, artist and maker of open source tools for creative computing and generative AI. He’s a Senior Lecturer at the ANU School of Cybernetics, where he leads the Cybernetic Studio: a cybernetic community that makes things out of hardware/software/people/stuff to explore cybernetic systems/ideas and their impact on the world. He is a core contributor to the Extempore live programming environment.
LXT	Leon Volbers		LXT is a creative technologist and visual artist from Germany. His primary focus centers around the intersection of technology and art, utilizing digital media to create new and innovative forms of expression. Marked by an experimental approach and raw imagery, his artistic endeavors aim to unveil novel perspectives and prompt contemplation. Exploring themes such as the relationship between humans and technology, his work ventures into the boundaries of human-machine interaction and the evolving nature of digital connections. Fueled by a passion for the creative exploration of technology and art, he wants to construct novel connections between the digital realm and human experience.
Beverley Edwards			Beverley Edwards is an artist from London, England. She studied Illustration at Norwich University of the Arts in 2013. After graduating, she relocated to Berlin, where she continued working on various kinds of media, including digital art, animation, and street art. She now lives in Barcelona, where she has been expanding her artistic practice by working with ceramics and sculpture.
Dahee Park			Dahee Park is a Korean electronic musician who made her debut at the WeSA Festival in 2021. Since then, she has conducted various workshops on sound programming, and in 2023, she released her first album and held a solo performance.
Scott Wilson		University of Birmingham	For the past three decades Scott Wilson’s music and sound art has explored the intersection of a variety of different and sometimes contradictory practices. Combining aspects of instrumental/vocal composition, field recording, immersive multichannel electroacoustic sound and visuals, cross-cultural collaboration, live coding and improvisation in works that are each a bespoke solution to a unique artistic problem, his output holds few firm allegiances to schools, styles or genres, and regularly transgresses the boundaries of the ‘acceptable’ to be found in even the most supposedly experimental fields of practice. A particular interest in collaboration has led to a rich range of output, including cross-cultural and interdisciplinary works. These and other pieces including hyperreal soundscapes using sound from the natural world, a collaborative musical palimpsest on classic Qawwali recordings, and music created by sonifying the particle collisions of CERN’s Large Hadron Collider have been presented around the world. Also active as an educator and mentor for young artists, he is the director of Birmingham ElectroAcoustic Sound Theatre and teaches at the University of Birmingham in the U.K.
